Bramfelder SV,0230,HaTTV
Brandenburger Sport- und Ruderklub 1883,2417,TTVB
Brandiser TTC 1946,3107,STTV
Brandler Sport-Club e.V. Ihrlerstein,413014,ByTTV
Braunschweiger SC Acosta,1050950,TTVN
Breitenburger SC Nordoe,71248,TTVSH
Breitenfelder SV,70241,TTVSH
Breitensportverein Kisdorf,73468,TTVSH
Breitenwischer SV,3331000,TTVN
Breklumer SV Germania,70444,TTVSH
Breloher SC,3321350,TTVN
Bremer Sport-Club (ex Post SV),36,FTTB
Bremthaler TTV,34002,HeTTV
Brettsegler Rheinhausen,147041,WTTV
Brügger SV,70984,TTVSH
Budapest,HUN-02,Ausland
Burger Ballspiel Club 08,11220,TTVSA
Burgkemnitzer SV Heide 90,11103,TTVSA
Buxtehuder TSV,0250,HaTTV
Börnsen, VfL,0225,HTTV
Büdelsdorfer TSV,70899,TTVSH
Bültener SC,1130900,TTVN
Bürgerverein Gollenbach-Plösen 1984 e.V.,508043,ByTTV
CCTT Meyrin,SUI-0000002,Ausland
CFC Hertha 06 Berlin,0962,BTTV
CJD Garz Gesundheitssportverein,612577,TTVMV
CSV Stuttgart 1999 e.V.,14022,TTVWH
CTTC 70,986,BTTV
CTTF Bonn,154002,WTTV
CVJM Billmerich,112041,WTTV
CVJM Detmold,184052,WTTV
CVJM Erlangen,207018,ByTTV
CVJM Exter,182013,WTTV
CVJM Grüntal,12017,TTVWH
CVJM Hamm,112054,WTTV
CVJM Heepen,181022,WTTV
CVJM Heeren-Werve,112035,WTTV
CVJM Kelzenberg,142019,WTTV
CVJM Lauf,207057,ByTTV
CVJM Lüttringhausen,144031,WTTV
CVJM Naila,206054,ByTTV
CVJM Nürnberg Bäcker,207073,ByTTV
CVJM Odenkirchen,143021,WTTV
CVJM Siegen,116061,WTTV
CVJM TTC Dornberg,181017,WTTV
CVJM Unterasbach,104096,ByTTV
CVJM Wehrendorf,182015,WTTV
CVJM Westerengel-Greußen,111024,TTTV
CVJM Wuppertal-Vohwinkel,144050,WTTV
CVJM-SG Dillenburg,32018,HeTTV
Caputher SV 1981,2411,TTVB
CdT 1955 Philippsthal,11027,HeTTV
CfL Berlin,1018,BTTV
Charlottenburger TSV,0990,BTTV
Charlottenburger TTC 70,0986,BTTV
Chemnitzer WSV,4115,STTV
Chile,CHI-ITTF,Ausland
Club der TT-Freunde Beckum,177034,WTTV
Coburger TS 1861 e.V.,205014,ByTTV
Colmnitzer SV,2404,STTV
Concordia, SC,0260,HTTV
Condor, SC,0270,HTTV
Costa Rica,CRC-ITTF,Ausland
Cottbuser TT-Team,3308,TTVB
Croatia,CRO-ITTF,Ausland
Cronenberger Turngemeinde,144035,WTTV
Curslack-Neueng., SV,0280,HTTV
Czech Republic,CZE-ITTF,Ausland
DC Dream Team Recklinghausen,176027,WTTV
DJK,0290,HTTV
DJK 1. FC 1922 Seßlach,205081,ByTTV
DJK 1920 Ochtendung,001251,TTVR
DJK 1927 Dossenheim,305,BaTTV
DJK 1964 Treffelstein,405015,ByTTV
DJK 1986 Astheim,103002,ByTTV
DJK 2002 Amberg,208003,ByTTV
DJK 70 Weinsfeld,104105,ByTTV
DJK AK Neunkirchen,156040,WTTV
DJK Aalen,10001,TTVWH
DJK Adler Brakel,183001,WTTV
DJK Adler Frintrop,145007,WTTV
